,indie_game,action_game,platform_game,adventure_game,sci-fi,role-playing_video_game,puzzle_video_game,dates,lang
243,6293.0,21161.0,27904.0,38408.0,10403.0,10896.0,6505.0,2019-09-01,it
244,5833.0,18229.0,23683.0,36898.0,10047.0,9870.0,6109.0,2019-09-02,it
245,6137.0,15852.0,21874.0,37208.0,11051.0,9002.0,5499.0,2019-09-03,it
246,5076.0,15591.0,21376.0,35728.0,8949.0,8816.0,5195.0,2019-09-04,it
247,5371.0,15241.0,20004.0,35400.0,9231.0,9502.0,5754.0,2019-09-05,it
248,4224.0,13003.0,16623.0,29279.0,8016.0,7672.0,4694.0,2019-09-06,it
249,4726.0,14310.0,19496.0,36950.0,8005.0,8669.0,4543.0,2019-09-07,it
250,5521.0,16613.0,21759.0,47128.0,9154.0,9564.0,5328.0,2019-09-08,it
251,4886.0,16159.0,19399.0,36164.0,8611.0,9539.0,5554.0,2019-09-09,it
252,4827.0,20159.0,18508.0,33771.0,8499.0,8994.0,6195.0,2019-09-10,it
253,4716.0,15450.0,23165.0,32756.0,8511.0,9526.0,5460.0,2019-09-11,it
254,4858.0,15210.0,19532.0,31948.0,8882.0,9460.0,5780.0,2019-09-12,it
255,5080.0,18252.0,18743.0,33169.0,9274.0,9088.0,6464.0,2019-09-13,it
256,4922.0,17368.0,18445.0,32774.0,8065.0,9056.0,5661.0,2019-09-14,it
257,5070.0,17245.0,18790.0,35938.0,8339.0,9998.0,5895.0,2019-09-15,it
258,4393.0,15104.0,16373.0,30998.0,7778.0,9270.0,5502.0,2019-09-16,it
259,4270.0,14491.0,16855.0,31198.0,7664.0,8966.0,5831.0,2019-09-17,it
260,4913.0,14287.0,17121.0,32742.0,7871.0,8990.0,5868.0,2019-09-18,it
261,4618.0,14735.0,17190.0,32991.0,8017.0,8856.0,5801.0,2019-09-19,it
262,4756.0,23105.0,21957.0,44573.0,7904.0,8625.0,5502.0,2019-09-20,it
263,4584.0,16147.0,19072.0,34650.0,7193.0,8778.0,5514.0,2019-09-21,it
264,5231.0,18857.0,22069.0,40120.0,9059.0,10437.0,6153.0,2019-09-22,it
265,4689.0,18630.0,18647.0,34183.0,8159.0,8995.0,6014.0,2019-09-23,it
266,4467.0,24690.0,23459.0,33887.0,8405.0,8371.0,5735.0,2019-09-24,it
267,4681.0,17096.0,18638.0,41433.0,8011.0,8287.0,5473.0,2019-09-25,it
268,4528.0,15221.0,17129.0,33570.0,7734.0,7921.0,5890.0,2019-09-26,it
269,4579.0,15536.0,18706.0,31579.0,7791.0,8367.0,5728.0,2019-09-27,it
