,single_player_video_game,co_op_mode,multiplayer_video_game,lang,dates
436,172471.0,15244.0,82594.0,it,2020-03-12
437,192982.0,17136.0,93105.0,it,2020-03-13
438,231182.0,20422.0,111463.0,it,2020-03-14
439,239163.0,20880.0,111585.0,it,2020-03-15
440,224231.0,21792.0,99666.0,it,2020-03-16
441,233292.0,20052.0,99869.0,it,2020-03-17
442,230030.0,19840.0,103818.0,it,2020-03-18
443,218991.0,18898.0,99629.0,it,2020-03-19
444,221758.0,19590.0,102394.0,it,2020-03-20
445,237664.0,21499.0,110594.0,it,2020-03-21
446,271825.0,28604.0,127286.0,it,2020-03-22
447,265420.0,23357.0,113035.0,it,2020-03-23
448,305130.0,40274.0,127004.0,it,2020-03-24
449,266492.0,24601.0,115238.0,it,2020-03-25
450,250452.0,21486.0,111127.0,it,2020-03-26
451,253224.0,20964.0,116706.0,it,2020-03-27
452,263006.0,21473.0,117244.0,it,2020-03-28
453,287484.0,23052.0,129138.0,it,2020-03-29
454,288255.0,22519.0,114739.0,it,2020-03-30
455,327095.0,21742.0,139317.0,it,2020-03-31
456,267042.0,21027.0,118567.0,it,2020-04-01
457,303292.0,20806.0,117864.0,it,2020-04-02
458,247716.0,19980.0,106839.0,it,2020-04-03
459,261707.0,21119.0,112641.0,it,2020-04-04
460,284956.0,23155.0,123538.0,it,2020-04-05
461,354676.0,20447.0,110387.0,it,2020-04-06
462,371286.0,22433.0,109419.0,it,2020-04-07
463,273705.0,21860.0,109268.0,it,2020-04-08
464,270423.0,22962.0,117595.0,it,2020-04-09
465,247001.0,20585.0,103522.0,it,2020-04-10
466,258047.0,21601.0,113292.0,it,2020-04-11
467,294397.0,23802.0,121050.0,it,2020-04-12
468,300767.0,24944.0,127072.0,it,2020-04-13
469,274478.0,22922.0,116916.0,it,2020-04-14
470,259887.0,21831.0,111103.0,it,2020-04-15
471,321448.0,21639.0,165847.0,it,2020-04-16
472,268046.0,22002.0,118352.0,it,2020-04-17
473,268635.0,21921.0,114423.0,it,2020-04-18
474,287641.0,23931.0,121541.0,it,2020-04-19
475,262443.0,23303.0,112021.0,it,2020-04-20
476,252446.0,21153.0,108645.0,it,2020-04-21
477,242983.0,21356.0,106335.0,it,2020-04-22
478,240600.0,19965.0,108009.0,it,2020-04-23
479,232480.0,20617.0,99880.0,it,2020-04-24
480,249901.0,21286.0,109212.0,it,2020-04-25
481,272155.0,20867.0,111525.0,it,2020-04-26
482,230153.0,19114.0,98151.0,it,2020-04-27
483,235812.0,19388.0,101616.0,it,2020-04-28
484,237140.0,18818.0,100717.0,it,2020-04-29
485,258048.0,19494.0,110539.0,it,2020-04-30
486,283442.0,22904.0,119670.0,it,2020-05-01
487,263102.0,20655.0,110366.0,it,2020-05-02
488,258105.0,21092.0,110329.0,it,2020-05-03
489,280785.0,22110.0,111910.0,it,2020-05-04
490,331518.0,25847.0,131622.0,it,2020-05-05
491,312820.0,23342.0,121987.0,it,2020-05-06
492,308777.0,23387.0,122699.0,it,2020-05-07
493,318416.0,24288.0,122448.0,it,2020-05-08
494,297980.0,23410.0,117611.0,it,2020-05-09
495,332275.0,25029.0,129516.0,it,2020-05-10
496,343825.0,25158.0,130163.0,it,2020-05-11
497,344154.0,24709.0,132661.0,it,2020-05-12
498,336505.0,25091.0,133732.0,it,2020-05-13
499,275862.0,20441.0,114962.0,it,2020-05-14
500,342596.0,25313.0,142808.0,it,2020-05-15
501,347603.0,24137.0,135740.0,it,2020-05-16
502,293354.0,22464.0,123509.0,it,2020-05-17
503,309889.0,23007.0,125886.0,it,2020-05-18
504,289688.0,21777.0,118000.0,it,2020-05-19
505,300138.0,22002.0,123684.0,it,2020-05-20
506,350431.0,27669.0,148914.0,it,2020-05-21
507,350403.0,24795.0,129426.0,it,2020-05-22
508,291539.0,22526.0,120385.0,it,2020-05-23
509,296597.0,22587.0,122698.0,it,2020-05-24
510,300746.0,22332.0,123502.0,it,2020-05-25
511,325837.0,23021.0,127188.0,it,2020-05-26
512,318141.0,22273.0,127827.0,it,2020-05-27
513,261826.0,22409.0,110313.0,it,2020-05-28
514,280576.0,23298.0,117064.0,it,2020-05-29
515,287715.0,22274.0,116081.0,it,2020-05-30
516,275676.0,21745.0,114014.0,it,2020-05-31
517,302996.0,23673.0,123721.0,it,2020-06-01
518,338368.0,24511.0,137010.0,it,2020-06-02
519,287739.0,22508.0,115404.0,it,2020-06-03
520,313566.0,24378.0,123849.0,it,2020-06-04
521,281150.0,21890.0,111531.0,it,2020-06-05
522,293454.0,22517.0,113727.0,it,2020-06-06
523,330294.0,24169.0,128543.0,it,2020-06-07
524,254228.0,19478.0,103349.0,it,2020-06-08
525,299730.0,21470.0,130788.0,it,2020-06-09
526,270858.0,20214.0,109604.0,it,2020-06-10
527,256040.0,20109.0,105784.0,it,2020-06-11
528,259665.0,19841.0,107035.0,it,2020-06-12
529,268716.0,20719.0,109249.0,it,2020-06-13
530,288681.0,21404.0,120607.0,it,2020-06-14
